ID,Gradient,eGradient,Direction,eDirection,GradientToUncertainty,GradientR,beta,JoverM
PER3,1.70,0.09,80,3,19,0.35,5.4e-2,2.88e-2
PER6,0.32,0.07,32,15,5,0.05,1.5e-3,3.13e-3
B5,0.50,0.10,113,8,5,0.23,1.3e-2,4.23e-2
L1489,0.61,0.30,-111,25,2,NaN,NaN,NaN
L1498,0.52,0.56,-34,65,1,NaN,NaN,NaN
L1495,2.89,0.12,147,2,24,0.44,NaN,2.68e-2
L1495NW,3.90,0.20,-84,3,20,0.66,1.4e00,4.47e-2
L1495SE,0.60,0.30,12,15,2,NaN,NaN,NaN
TAU11,2.00,0.53,138,15,4,0.22,NaN,9.68e-3
TAU16,2.01,0.50,16,15,4,0.21,NaN,8.78e-3
L1400G,0.58,0.20,76,30,3,0.07,5.8e-3,3.38e-3
B217,1.05,0.14,-63,10,8,0.07,9.8e-3,1.87e-3
L1524,1.43,0.41,57,15,3,0.12,7.1e-2,4.03e-3
L1400K,0.88,0.31,105,19,3,0.18,3.6e-2,1.47e-2
TMC2A,2.20,0.60,-73,14,4,0.17,4.4e-2,5.25e-3
L1534,2.19,0.38,27,9,6,0.30,7.4e-2,1.64e-2
L1527,3.32,0.62,-177,13,5,0.26,1.6e-1,8.14e-3
TMC1C,0.30,0.07,129,14,4,0.05,1.2e-3,3.33e-3
L1517B,1.52,0.57,-62,18,3,0.09,5.4e-2,2.13e-3
L1582A,0.51,0.25,-116,33,2,NaN,NaN,NaN
B35A,1.06,0.16,57,7,7,0.49,1.8e-1,9.06e-2
L134A,2.00,0.70,52,18,3,0.17,2.3e-3,5.78e-3
L1696A,0.40,0.70,165,137,1,NaN,NaN,NaN
L43RNO90,1.31,0.12,130,6,11,0.18,NaN,9.89e-3
L43,1.58,0.16,88,11,10,0.22,9.0e-3,1.23e-2
L260,0.71,0.38,-30,30,2,NaN,NaN,NaN
L158,0.12,0.12,-66,78,1,NaN,NaN,NaN
L234E,1.70,0.80,103,31,2,NaN,NaN,NaN
L234A,0.50,0.40,87,39,1,NaN,NaN,NaN
L63,0.40,0.10,3,21,4,0.05,2.6e-3,2.50e-3
L483,1.90,0.20,52,6,10,0.31,NaN,2.02e-2
L778,0.40,0.50,-5,44,1,NaN,NaN,NaN
L1152,0.80,0.20,163,16,4,0.22,7.9e-2,2.42e-2
L1082C,0.27,0.15,-29,37,2,NaN,NaN,NaN
L1082A,0.95,0.09,85,4,11,0.56,8.5e-2,1.32e-1
L1082B,0.66,0.21,-150,18,3,0.18,3.3e-2,1.96e-2
L1174,0.87,0.32,-145,19,3,0.23,6.3e-3,2.43e-2
L1172A,0.66,0.18,-72,14,4,0.13,2.8e-2,1.02e-2
B361,0.71,0.18,-32,14,4,0.23,2.5e-2,2.98e-2
L1031B,0.17,0.09,5,29,2,NaN,NaN,NaN
L1251A,1.33,0.07,-77,8,19,0.29,4.4e-2,2.53e-2
L1251E,3.48,0.11,-156,2,32,0.89,NaN,9.10e-2
L1262A,0.40,0.30,58,57,1,NaN,NaN,NaN
