RA,Dec,ID,Class
63.4717,28.1897,041353.2+281123,flat
63.4779,28.1922,041354.7+281132,I
63.5508,28.1436,041412.2+280837,I
63.6092,28.1008,041426.2+280603,I
63.6271,28.0872,041430.5+280514,flat
64.6333,28.5208,041832.0+283115,I
64.6433,28.5083,041834.4+283030,flat
64.6692,28.3208,041840.6+281915,flat
64.6721,28.4569,041841.3+282725,flat
64.6875,28.3478,041845.0+282052,flat
64.7142,28.3406,041851.4+282026,I
64.7421,28.2064,041858.1+281223,flat
64.9271,27.2267,041942.5+271336,I
64.9933,27.1658,041958.4+270957,I
65.2829,27.0389,042107.9+270220,I
65.2929,27.0269,042110.3+270137,I
65.2975,27.0192,042111.4+270109,I
65.5025,26.9589,042200.6+265732,I
65.5088,26.9583,042202.1+265730,flat
65.7821,28.0992,042307.7+280557,flat
66.7342,24.7264,042656.2+244335,I
66.7608,26.0917,042702.6+260530,I
66.9887,26.3217,042757.3+261918,flat
67.1621,26.8597,042838.9+265135,I
67.2704,26.8186,042904.9+264907,I
67.3488,24.55,042923.7+243300,I
67.375,24.6653,042930.0+243955,I
67.7154,24.6964,043051.7+244147,flat
68.0642,24.4831,043215.4+242859,flat
68.1333,22.9572,043232.0+225726,I
68.3096,26.2397,043314.3+261423,flat
68.3188,22.8889,043316.5+225320,I
68.8971,24.1386,043535.3+240819,I
69.5617,26.1942,043814.8+261139,I
69.6475,26.1781,043835.4+261041,flat
69.8075,25.8889,043913.8+255320,I
69.8962,25.6956,043935.1+254144,I
69.9746,26.0525,043953.9+260309,I
69.9821,25.7506,043955.7+254502,flat
70.2842,25.9353,044108.2+255607,flat
70.3025,25.7764,044112.6+254635,I
70.4117,25.9406,044138.8+255626,flat
63.8983,28.7947,041535.6+284741,I
64.9225,27.2686,041941.4+271607,I
65.0892,28.2303,042021.4+281349,flat
65.1075,28.3231,042025.8+281923,flat
65.565,26.9517,042215.6+265706,I
65.5871,26.7133,042220.9+264248,I
67.3833,24.5164,042932.0+243059,I
68.9975,22.6414,043559.4+223829,flat
69.7717,23.6292,043905.2+233745,flat
70.3525,25.7314,044124.6+254353,flat
